bucket	status	name	dispatch	target	file	line	note
other	needs-classification	access-file	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	705	registered through Phase-1 stub list
other	needs-classification	access-file	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	271	matched in stubs::call
other	needs-classification	add-function	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	add-minor-mode	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	30	matched in stubs::call
other	needs-classification	add-name-to-file	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	706	registered through Phase-1 stub list
other	needs-classification	add-name-to-file	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	271	matched in stubs::call
other	needs-classification	add-to-invisibility-spec	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	106	matched in stubs::call
other	needs-classification	add-to-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	105	matched in stubs::call
other	needs-classification	add-to-ordered-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	105	matched in stubs::call
other	needs-classification	advice--add-function	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice--make	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice--p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice--symbol-function	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice--tweaked	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice-eval-interactive-spec	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice-function-mapc	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	advice-function-member-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	apply	stub-module	signals	crates/elisp/src/primitives/core/stubs.rs	256	matched in stubs::call
other	needs-classification	apply must be called through eval dispatch	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	257	matched in stubs::call
other	needs-classification	ask-user-about-lock	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	ask-user-about-supersession-threat	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	backtrace-debug	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	backtrace-eval	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	backward-prefix-chars	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	22	matched in stubs::call
other	needs-classification	backward-up-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	167	matched in stubs::call
other	needs-classification	bare-symbol-p	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	291	matched in stubs::call
other	needs-classification	bookmark-delete	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	200	matched in stubs::call
other	needs-classification	bookmark-get-bookmark-record	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	200	matched in stubs::call
other	needs-classification	bookmark-jump	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	200	matched in stubs::call
other	needs-classification	bookmark-set	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	200	matched in stubs::call
