bucket	status	name	dispatch	target	file	line	note
other	needs-classification	up-list	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	167	matched in stubs::call
other	needs-classification	user-real-uid	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	67	matched in stubs::call
other	needs-classification	user-uid	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	67	matched in stubs::call
other	needs-classification	verify-visited-file-modtime	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	visited-file-modtime	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	x-popup-menu	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	yank	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	yank-pop	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	runtime-missing	abbrev-table-p	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	628	silent primitive alias
other	runtime-missing	all-completions	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	911	silent primitive alias
other	runtime-missing	ask-user-about-lock	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	681	silent primitive alias
other	runtime-missing	autoload	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	237	silent primitive alias
other	runtime-missing	backup-buffer	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	680	silent primitive alias
other	runtime-missing	beep	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	700	silent primitive alias
other	runtime-missing	byte-compile-warn	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	353	silent primitive alias
other	runtime-missing	cl-progv	bootstrap-alias	ignore	crates/elisp/src/eval/bootstrap/functions_2.rs	1089	silent primitive alias
